area,auv_count,method,regular_latency,priority_latency,regular_std,priority_std,transmitted_data,priority_objects,regular_objects,travelled_distance,w1,w2,w3,regular_latency_normalized,priority_latency_normalized,regular_std_normalized,priority_std_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,transmitted_data_normalized,priority,regular,distance,utility_baseline,utility_a0.8_b0.4_g0.8,utility_a0.8_b0.4_g1.0,utility_a0.8_b0.4_g1.2,utility_a0.8_b0.5_g0.8,utility_a0.8_b0.5_g1.0,utility_a0.8_b0.5_g1.2,utility_a0.8_b0.6_g0.8,utility_a0.8_b0.6_g1.0,utility_a0.8_b0.6_g1.2,utility_a1.0_b0.4_g0.8,utility_a1.0_b0.4_g1.0,utility_a1.0_b0.4_g1.2,utility_a1.0_b0.5_g0.8,utility_a1.0_b0.5_g1.0,utility_a1.0_b0.5_g1.2,utility_a1.0_b0.6_g0.8,utility_a1.0_b0.6_g1.0,utility_a1.0_b0.6_g1.2,utility_a1.2_b0.4_g0.8,utility_a1.2_b0.4_g1.0,utility_a1.2_b0.4_g1.2,utility_a1.2_b0.5_g0.8,utility_a1.2_b0.5_g1.0,utility_a1.2_b0.5_g1.2,utility_a1.2_b0.6_g0.8,utility_a1.2_b0.6_g1.0,utility_a1.2_b0.6_g1.2
15000,3,owa,131.13333333333333,89.0,107.0399569364281,35.25947772203623,870.0,14.0,15.0,1197.4975209461845,5.798,2.837,1.365,0.0,0.14041948098115895,0.0,0.0,1.0,0.9333333333333333,1.0,1.0,0.43395585176337487,0.5,0.36787944117144233,1.0518352929348171,0.8414682343478537,0.9150441225821422,0.9886200108164307,0.8914682343478537,0.9650441225821422,1.0386200108164307,0.9414682343478538,1.0150441225821423,1.0886200108164308,0.9282594047005288,1.001835292934817,1.0754111811691056,0.9782594047005286,1.0518352929348171,1.1254111811691057,1.0282594047005287,1.1018352929348172,1.1754111811691057,1.0150505750532037,1.0886264632874922,1.1622023515217808,1.0650505750532038,1.1386264632874923,1.2122023515217806,1.1150505750532036,1.188626463287492,1.2622023515217806
15000,4,owa,283.8,169.6,155.33032901243436,125.68600331210881,750.0,15.0,10.0,981.7634295326637,8.944,0.956,0.1,1.0,1.0,0.7193317631035802,1.0,0.8198458972649382,1.0,0.6666666666666666,0.8620689655172413,0.11920292202211755,0.10130483787504505,0.4404995314584441,0.6103548724180842,0.48828389793446736,0.5763838042261562,0.664483710517845,0.4984143817219719,0.5865142880136607,0.6746141943053495,0.5085448655094764,0.5966447718011652,0.684744678092854,0.5121244823388909,0.6002243886305797,0.6883242949222685,0.5222549661263953,0.6103548724180842,0.698454778709773,0.5323854499138999,0.6204853562055888,0.7085852624972775,0.5359650667433145,0.6240649730350032,0.712164879326692,0.5460955505308189,0.6341954568225077,0.7222953631141965,0.5562260343183234,0.6443259406100121,0.7324258469017011
15000,5,owa,231.8181818181818,75.83333333333333,174.1722240667657,54.35377938408086,690.0,12.0,11.0,721.3632630747314,6.523,2.283,1.194,0.6595077411671297,0.0,1.0,0.2111581921061986,0.6023922809499908,0.8,0.7333333333333333,0.7931034482758621,0.3579245829834025,0.11720726446194363,0.5475002936470448,0.9640285088614191,0.7712228070891354,0.8807228658185442,0.9902229245479532,0.7829435335353296,0.8924435922647387,1.0019436509941475,0.7946642599815241,0.904164318710933,1.013664377440342,0.8428077236858158,0.9523077824152247,1.0618078411446337,0.8545284501320102,0.9640285088614191,1.0735285675908282,0.8662491765782045,0.9757492353076135,1.0852492940370224,0.9143926402824962,1.0238926990119053,1.133392757741314,0.9261133667286907,1.0356134254580995,1.1451134841875086,0.937834093174885,1.047334151904294,1.1568342106337028
15000,6,owa,176.5,121.9090909090909,120.6731121667126,123.02882145696964,570.0,11.0,8.0,0.0,6.407,2.805,0.789,0.29716157205240173,0.49138738971657564,0.20307902314420084,0.97061501768646,0.0,0.7333333333333333,0.5333333333333333,0.6551724137931034,0.13798491905540522,0.20132486917327858,1.0,1.2386473536420446,0.9909178829136356,1.1909178829136355,1.3909178829136355,1.0110503698309636,1.2110503698309634,1.4110503698309635,1.0311828567482912,1.2311828567482914,1.4311828567482912,1.0185148667247166,1.2185148667247168,1.4185148667247165,1.0386473536420446,1.2386473536420446,1.4386473536420445,1.0587798405593725,1.2587798405593724,1.4587798405593724,1.0461118505357978,1.2461118505357978,1.4461118505357977,1.0662443374531256,1.2662443374531256,1.4662443374531255,1.0863768243704535,1.2863768243704534,1.4863768243704534
25000,3,owa,186.0,122.5,131.28372582565848,101.61478837940521,1470.0,24.0,25.0,2153.3549492473635,5.9,2.751,1.349,0.05285579047017982,0.0,0.1360013306103912,0.0,1.0,1.0,1.0,1.0,0.5,0.4529255536975098,0.36787944117144233,1.0943422180201972,0.8754737744161578,0.9490496626504463,1.0226255508847348,0.9207663297859088,0.9943422180201973,1.0679181062544858,0.9660588851556597,1.0396347733899483,1.1132106616242368,0.9754737744161579,1.0490496626504462,1.1226255508847347,1.0207663297859089,1.0943422180201972,1.1679181062544857,1.0660588851556598,1.1396347733899481,1.2132106616242366,1.0754737744161578,1.1490496626504463,1.2226255508847348,1.1207663297859087,1.1943422180201972,1.2679181062544858,1.1660588851556597,1.2396347733899482,1.3132106616242367
25000,4,owa,386.1,183.08695652173913,344.85113493094076,209.38826767590442,1290.0,23.0,20.0,1576.487922179857,6.407,2.805,0.789,1.0,0.46426786606696646,1.0,1.0,0.7321077849849454,0.9583333333333334,0.8,0.8775510204081632,0.1799897908764783,0.09536233761769405,0.4808942993074469,0.7085652589927722,0.5668522071942178,0.6630310670557071,0.7592099269171966,0.5763884409559872,0.6725673008174766,0.768746160678966,0.5859246747177567,0.682103534579246,0.7782823944407353,0.6028501653695135,0.6990290252310029,0.7952078850924922,0.6123863991312828,0.7085652589927722,0.8047441188542617,0.6219226328930523,0.7181014927545417,0.814280352616031,0.6388481235448091,0.7350269834062986,0.8312058432677879,0.6483843573065785,0.7445632171680678,0.8407420770295573,0.6579205910683479,0.7540994509298373,0.8502783107913268
25000,5,owa,174.83333333333334,231.44444444444446,97.66625297254404,192.62802380639107,900.0,18.0,12.0,1394.7965324045604,6.594,2.308,1.098,0.0,0.8348233290762027,0.0,0.8444863803329232,0.6477318255831752,0.75,0.48,0.6122448979591837,0.11789017228127147,0.24,0.52323121151445,0.7611213837957214,0.6088971070365772,0.7135433493394672,0.8181895916423572,0.6328971070365772,0.7375433493394672,0.8421895916423572,0.6568971070365771,0.7615433493394671,0.8661895916423571,0.6324751414928315,0.7371213837957215,0.8417676260986114,0.6564751414928314,0.7611213837957214,0.8657676260986114,0.6804751414928314,0.7851213837957214,0.8897676260986114,0.6560531759490857,0.7606994182519757,0.8653456605548657,0.6800531759490858,0.7846994182519758,0.8893456605548657,0.7040531759490857,0.8086994182519757,0.9133456605548657
25000,6,owa,353.0,253.0,235.23350101548036,207.07285352422866,720.0,13.0,11.0,0.0,6.37,2.735,0.895,0.8433259703376459,1.0,0.5565358486045681,0.9785159190666403,0.0,0.5416666666666666,0.44,0.4897959183673469,0.06580011246613754,0.08704873742576365,1.0,1.1093244811790193,0.8874595849432155,1.0874595849432156,1.2874595849432153,0.8961644586857919,1.096164458685792,1.2961644586857919,0.9048693324283683,1.1048693324283683,1.3048693324283682,0.900619607436443,1.100619607436443,1.300619607436443,0.9093244811790194,1.1093244811790193,1.3093244811790192,0.9180293549215958,1.1180293549215956,1.3180293549215958,0.9137796299296705,1.1137796299296705,1.3137796299296705,0.9224845036722469,1.1224845036722468,1.3224845036722468,0.9311893774148232,1.1311893774148232,1.3311893774148231
35000,3,owa,438.5769230769231,284.90625,244.01281492199104,224.5411607320654,1740.0,32.0,26.0,2927.7725672102556,6.0,2.667,1.333,0.8688668463735608,0.6592477214261603,0.0,0.3934630972659878,1.0,1.0,1.0,1.0,0.25870488908186495,0.2954901423927134,0.36787944117144233,0.774329401449664,0.6194635211597312,0.6930394093940196,0.766615297628308,0.6490125353990026,0.722588423633291,0.7961643118675794,0.6785615496382739,0.7521374378725623,0.8257133261068508,0.6712044989761041,0.7447803872103926,0.8183562754446811,0.7007535132153755,0.774329401449664,0.8479052896839525,0.7303025274546469,0.8038784156889354,0.8774543039232238,0.7229454767924772,0.7965213650267656,0.870097253261054,0.7524944910317486,0.826070379266037,0.8996462675003254,0.7820435052710198,0.8556193935053082,0.9291952817395968
35000,4,owa,464.48,209.79310344827587,446.9709274662055,165.9727557914992,1620.0,29.0,25.0,2158.329559529417,7.667,1.667,0.667,1.0,0.0,1.0,0.0,0.4670309635686255,0.90625,0.9615384615384616,0.9310344827586207,0.453125,0.1146181942520361,0.6268606802681828,1.1372947773942008,0.9098358219153607,1.0352079579689972,1.1605800940226336,0.9212976413405644,1.0466697773942009,1.1720419134478375,0.932759460765768,1.0581315968194045,1.183503732873041,1.0004608219153606,1.1258329579689972,1.2512050940226338,1.0119226413405644,1.1372947773942008,1.2626669134478372,1.0233844607657678,1.1487565968194045,1.274128732873041,1.0910858219153607,1.2164579579689971,1.3418300940226335,1.1025476413405642,1.2279197773942008,1.3532919134478374,1.114009460765768,1.2393815968194044,1.3647537328730408
35000,5,owa,427.3,323.7307692307692,290.37889947990004,314.8263721726384,1380.0,26.0,20.0,1704.4821658754954,6.667,2.333,1.0,0.8117779340921686,1.0,0.2284514966003546,1.0,0.1526651097392606,0.8125,0.7692307692307693,0.7931034482758621,0.09685237414297052,0.20085055964217452,0.8584171492233136,1.0556948031873714,0.8445558425498971,1.01623927239456,1.1879227022392225,0.8646408985141145,1.0363243283587773,1.2080077582034399,0.884725954478332,1.0564093843229947,1.2280928141676575,0.8639263173784912,1.035609747223154,1.2072931770678166,0.8840113733427086,1.0556948031873714,1.227378233032034,0.9040964293069261,1.0757798591515888,1.2474632889962516,0.8832967922070853,1.0549802220517481,1.2266636518964107,0.9033818481713027,1.0750652780159655,1.246748707860628,0.9234669041355202,1.095150333980183,1.2668337638248457
35000,6,owa,266.94736842105266,238.92307692307693,257.3384010045507,232.95199901729512,1350.0,26.0,19.0,1484.0808044901664,6.333,2.667,1.0,0.0,0.2556658790115122,0.06565682896591123,0.44996718826296966,0.0,0.8125,0.7307692307692307,0.7758620689655172,0.2685836479004898,0.3533939249504951,1.0,1.4452806103757374,1.1562244883005899,1.3562244883005898,1.5562244883005898,1.1915638807956395,1.3915638807956394,1.5915638807956394,1.2269032732906888,1.426903273290689,1.6269032732906887,1.2099412178806879,1.4099412178806878,1.6099412178806878,1.2452806103757372,1.4452806103757374,1.6452806103757371,1.2806200028707868,1.4806200028707868,1.6806200028707867,1.2636579474607859,1.4636579474607858,1.6636579474607858,1.2989973399558354,1.4989973399558352,1.6989973399558354,1.3343367324508848,1.5343367324508848,1.7343367324508847
45000,3,owa,495.0,272.07142857142856,356.6428118413369,247.1908902790186,2550.0,42.0,43.0,3454.5889994433387,6.098,2.584,1.318,0.2766634350203782,0.010949485655693064,0.28724812121924026,0.0,1.0,1.0,1.0,1.0,0.4972626559346524,0.36264288504364933,0.36787944117144233,1.0464635396279194,0.8371708317023356,0.910746719936624,0.9843226081709124,0.8734351202067006,0.947011008440989,1.0205868966752774,0.9096994087110655,0.9832752969453539,1.0568511851796423,0.936623362889266,1.0101992511235545,1.083775139357843,0.9728876513936309,1.0464635396279194,1.120039427862208,1.0091519398979958,1.0827278281322843,1.1563037163665728,1.0360758940761965,1.109651782310485,1.1832276705447735,1.0723401825805614,1.14591607081485,1.2194919590491384,1.1086044710849263,1.1821803593192148,1.2557562475535033
45000,4,owa,456.7142857142857,299.1470588235294,295.3571418974684,277.6243518653634,1860.0,34.0,28.0,2644.2716866939036,6.994,2.041,0.965,0.16422903721592552,0.1289402641929617,0.0,0.14606738158060661,0.7654374187841139,0.8095238095238095,0.6511627906976745,0.7294117647058823,0.34945373300178134,0.29890636361796463,0.46513042968290813,0.9640373444936718,0.7712298755949374,0.8642559615315191,0.9572820474681007,0.801120511956734,0.8941465978933155,0.9871726838298971,0.8310111483185303,0.924037234255112,1.0170633201916937,0.8411206221952937,0.9341467081318753,1.027172794068457,0.8710112585570902,0.9640373444936718,1.0570634304302535,0.9009018949188866,0.9939279808554682,1.0869540667920499,0.91101136879565,1.0040374547322317,1.0970635406688132,0.9409020051574464,1.033928091094028,1.1269541770306097,0.9707926415192429,1.0638187274558246,1.1568448133924063
45000,5,owa,741.3076923076923,269.55882352941177,508.71160940012123,304.2635611057555,1800.0,34.0,26.0,2274.0842761241156,6.741,2.359,0.9,1.0,0.0,1.0,0.27392400183664367,0.6582792559376974,0.8095238095238095,0.6046511627906976,0.7058823529411765,0.3496689629803572,0.07207618540872224,0.5177414689838022,0.9034485246685205,0.7227588197348165,0.8263071135315769,0.9298554073283374,0.7299664382756887,0.8335147320724492,0.9370630258692096,0.737174056816561,0.8407223506133215,0.9442706444100819,0.792692612330888,0.8962409061276484,0.9997891999244088,0.7999002308717601,0.9034485246685205,1.0069968184652809,0.8071078494126324,0.9106561432093928,1.0142044370061534,0.8626264049269593,0.9661746987237197,1.06972299252048,0.8698340234678316,0.973382317264592,1.0769306110613526,0.8770416420087037,0.9805899358054642,1.0841382296022246
45000,6,owa,400.7916666666667,499.03125,338.0145326392969,455.543099081709,1680.0,32.0,24.0,0.0,6.297,2.599,1.104,0.0,1.0,0.19993671208829067,1.0,0.0,0.7619047619047619,0.5581395348837209,0.6588235294117647,0.09082127392161336,0.2512641865361428,1.0,1.2164533671896849,0.9731626937517479,1.1731626937517479,1.3731626937517478,0.9982891124053621,1.198289112405362,1.398289112405362,1.0234155310589763,1.2234155310589765,1.4234155310589762,0.9913269485360705,1.1913269485360705,1.3913269485360704,1.0164533671896847,1.2164533671896849,1.4164533671896846,1.0415797858432991,1.241579785843299,1.441579785843299,1.009491203320393,1.2094912033203933,1.409491203320393,1.0346176219740075,1.2346176219740075,1.4346176219740074,1.0597440406276217,1.2597440406276217,1.4597440406276216
