area,auv_count,utility,w1,w2,w3
10000,3,1.29261870648103,4,4,2
20000,3,1.61920292202212,8,2,0
30000,3,1.60425883083218,6,2,2
40000,3,1.52154027284968,4,4,2
50000,3,1.60140964770229,6,2,2
60000,3,1.7174701114952,8,2,0
